alt,an,dis,fi,gateway_time,lat,lon,posPointName,sAlt,type
10668.0,B-2079,0,I99806,2026-04-20 05:37:59,38.43850833333333,30.660827777777776,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:38:29,38.47924999999999,30.73168888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:38:57,38.51745833333334,30.798277777777777,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:39:27,38.55857777777778,30.870208333333334,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:39:59,38.5959,30.9353,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:40:29,38.63535,31.004427777777778,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:40:57,38.67536944444444,31.07482777777778,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:41:29,38.712377777777775,31.13988888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:41:59,38.752969444444446,31.211669444444443,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:42:29,38.79174999999999,31.28008888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:42:59,38.830669444444446,31.34888888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:43:29,38.86906944444444,31.417177777777777,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:44:01,38.909908333333334,31.489738888888887,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:44:27,38.940897222222226,31.54662777777778,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:44:57,38.970927777777774,31.628619444444443,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:45:29,38.98777777777778,31.71305,POS,-1.0,ADSB
10637,,0,,2026-04-20 05:45:45,39.0,31.781000000000002,POS,,ACARS
10668.0,B-2079,0,I99806,2026-04-20 05:45:57,39.002627777777775,31.79467777777778,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:46:29,39.01831944444445,31.881958333333333,POS,-1.0,ADSB
